,id,name,country,latitude,longitude,population
0,1,Bombo,UGA,0.5833,32.5333,75000
1,2,Fort Portal,UGA,0.671,30.275,42670
12,13,Chipata,ZMB,-13.62957,32.64001,85963
13,14,Jinja,UGA,0.44042,33.19993,301619
14,15,Arua,UGA,3.02037,30.90002,250000
15,16,Mbale,UGA,1.09041,34.17,402368
16,17,Moroto,UGA,2.54035,34.63999,371
17,18,Masaka,UGA,-0.32961,31.72999,65373
18,19,Mbarara,UGA,-0.59962,30.65,83700
19,20,Otjiwarongo,NAM,-20.45954,16.64001,24815
92,93,Lobamba,SWZ,-26.46667,31.2,9782
108,109,Keetmanshoop,NAM,-26.5739,18.12999,18039
109,110,Swakopmund,NAM,-22.66886,14.53502,29491
120,121,Moroni,COM,-11.70416,43.24024,128698
129,130,Benin City,NGA,6.34048,5.62001,1190000
212,213,Atakpame,TGO,7.53004,1.12002,80683
213,214,Sousse,TUN,35.83,10.62503,327004
230,231,Kabwe,ZMB,-14.44001,28.44998,188979
231,232,Mufulira,ZMB,-12.55,28.25997,153624
232,233,Kitwe,ZMB,-12.81003,28.22002,404901
233,234,Livingstone,ZMB,-17.86001,25.86001,165480
234,235,Chitungwiza,ZWE,-18.0,31.1,340360
235,236,Douala,CMR,4.06041,9.70999,1906000
243,244,Gulu,UGA,2.78,32.28003,146858
244,245,Kigali,RWA,-1.95359,30.06053,860000
247,248,Maradi,NER,13.49164,7.0964,232555
248,249,Tahoua,NER,14.89998,5.25993,115956
256,257,Mbabane,SWZ,-26.31665,31.13333,90138
267,268,Kaolack,SEN,14.14997,-16.10001,277812
268,269,Kaedi,SEN,16.15001,-13.49999,21656
272,273,Juba,SSD,4.82998,31.58003,111975
273,274,Malakal,SSD,9.5369,31.65599,160765
284,285,Springbok,ZAF,-29.66673,17.88329,10438
285,286,Upington,ZAF,-28.46003,21.23001,71373
286,287,Worcester,ZAF,-33.64003,19.43994,127597
287,288,George,ZAF,-33.95003,22.45004,174582
288,289,Tete,MOZ,-16.17003,33.58001,129316
289,290,Pemba,MOZ,-12.98305,40.53235,110643
290,291,Nampula,MOZ,-15.13604,39.29304,388526
291,292,Welkom,ZAF,-27.96999,26.72999,431944
292,293,Xai-Xai,MOZ,-25.03998,33.64,128805
298,299,Oujda,MAR,34.69001,-1.90997,409391
299,300,Safi,MAR,32.31998,-9.23999,353476
301,302,Quelimane,MOZ,-17.88001,36.88999,188964
302,303,East London,ZAF,-32.97004,27.87002,338627
303,304,Middelburg,ZAF,-31.5,25.00999,18164
380,381,Maiduguri,NGA,11.84996,13.16001,896000
381,382,Port Harcourt,NGA,4.81,7.01,1020000
382,383,Makurdi,NGA,7.72998,8.53001,292645
383,384,Ibadan,NGA,7.38003,3.92998,2628000
384,385,Ogbomosho,NGA,8.13001,4.23999,951000
385,386,Warri,NGA,5.51996,5.76,830106
386,387,Kaduna,NGA,10.52002,7.44,1442000
394,395,Lüderitz,NAM,-26.648,15.15943,15137
395,396,Walvis Bay,NAM,-22.95753,14.50531,52058
396,397,Mwanza,TZA,-2.52002,32.93002,493944
397,398,Morogoro,TZA,-6.82001,37.66002,250902
398,399,Dodoma,TZA,-6.18331,35.75,218269
399,400,Arusha,TZA,-3.36002,36.67,341136
407,408,Laayoune,MAR,27.14998,-13.20001,188084
415,416,Meru,KEN,0.05998,37.64002,47226
416,417,Eldoret,KEN,0.52001,35.26998,353381
436,437,Antsiranana,MDG,-12.2765,49.31153,82937
437,438,Fianarantsoa,MDG,-21.43333,47.08327,184184
438,439,Mahajanga,MDG,-15.67001,46.34502,154657
439,440,Toliara,MDG,-23.35683,43.68998,115319
455,456,Mbandaka,COD,0.04004,18.26001,274996
456,457,Moundou,TCD,8.54998,16.09002,156705
457,458,Suez,EGY,30.00498,32.54994,508335
458,459,Bur Said,EGY,31.25999,32.29001,623864
459,460,El Faiyum,EGY,29.31003,30.83997,316772
460,461,Aswan,EGY,24.08751,32.89891,313442
461,462,Asyut,EGY,27.18998,31.17995,420585
462,463,Kisangani,COD,0.52001,25.22,578470
463,464,Assab,ERI,13.01002,42.72999,105496
464,465,Djibouti,DJI,11.59501,43.148,923000
511,512,Bandundu,COD,-3.30999,17.37996,118211
512,513,Kananga,COD,-5.89004,22.40002,765000
513,514,Kasongo,COD,-4.45003,26.66002,63000
514,515,Mbuji-Mayi,COD,-6.15003,23.6,1295000
515,516,Kalemie,COD,-5.9333,29.20002,206257
516,517,Butembo,COD,0.13,29.28001,286403
517,518,Goma,COD,-1.6788,29.22179,144124
