id,name,geometry
node/92740620,Fredrikstad bussterminal,POINT (10.940347 59.213885)
node/243320943,Årnes stasjon,POINT (11.465094 60.123333)
node/257628800,Blakstad bussterminal,POINT (10.465262 59.819264)
node/305242561,Kongsberg knutepunkt,POINT (9.650339 59.671744)
node/312274999,Tanumshede centrum,POINT (11.3206222 58.7223938)
node/312591220,Grebbestads busstation,POINT (11.2539317 58.6919583)
node/319694419,Stenungsunds station,POINT (11.8231786 58.0716706)
node/324112717,,POINT (11.6771718 58.4651845)
node/324714919,Moss bussterminal,POINT (10.662746 59.436439)
node/339363160,Sarpsborg bussterminal,POINT (11.107142 59.283021)
node/361136246,Kløfta stasjon,POINT (11.138586 60.07493)
node/416908979,Torp Terminalen,POINT (11.8164706 58.3532229)
node/446822767,Hamar skysstasjon,POINT (11.080375 60.791363)
node/505207256,Strömstad station,POINT (11.1739125 58.9366843)
node/541012758,Helsfyr T,POINT (10.80114 59.912759)
node/544570397,Fagernes skysstasjon,POINT (9.239043 60.98583)
node/564929586,Førde rutebilstasjon,POINT (5.854045 61.452431)
node/570206829,Sandvika bussterminal,POINT (10.524556 59.892905)
node/939732469,Kongsvinger stasjon,POINT (12.005095 60.187459)
node/1111002889,Kleppestø terminal,POINT (5.226697 60.407406)
node/1175143489,Asker stasjon,POINT (10.433721 59.83331)
node/1277068584,Elverum skysstasjon,POINT (11.547127 60.882234)
node/1289150672,Ringebu skysstasjon,POINT (10.138547 61.529511)
node/1289178407,Raufoss stasjon,POINT (10.613329 60.722593)
node/1289178416,Lillehammer skysstasjon,POINT (10.461624 61.114744)
node/1289178789,Eidsvoll stasjon,POINT (11.247125 60.330174)
node/1289230294,Jessheim stasjon,POINT (11.176129 60.141896)
node/1357052782,Brandbu skysstasjon,POINT (10.506174 60.420054)
node/1595603318,Varekils bussstation,POINT (11.7208266 58.125184)
node/1649252094,Skee,POINT (11.2629426 58.9223774)
node/2163187128,Stavanger bussterminal,POINT (5.73349 58.966444)
node/2248698520,Bergen busstasjon,POINT (5.333857 60.388114)
