name,position
Fredrikstad bussterminal,"(10.940347, 59.213885)"
Årnes stasjon,"(11.465094, 60.123333)"
Blakstad bussterminal,"(10.465262, 59.819264)"
Kongsberg knutepunkt,"(9.650339, 59.671744)"
Tanumshede centrum,"(11.3206222, 58.7223938)"
Grebbestads busstation,"(11.2539317, 58.6919583)"
Stenungsunds station,"(11.8231786, 58.0716706)"
,"(11.6771718, 58.4651845)"
Moss bussterminal,"(10.662746, 59.436439)"
Sarpsborg bussterminal,"(11.107142, 59.283021)"
Kløfta stasjon,"(11.138586, 60.07493)"
Torp Terminalen,"(11.8164706, 58.3532229)"
Hamar skysstasjon,"(11.080375, 60.791363)"
Strömstad station,"(11.1739125, 58.9366843)"
Helsfyr T,"(10.80114, 59.912759)"
Fagernes skysstasjon,"(9.239043, 60.98583)"
Førde rutebilstasjon,"(5.854045, 61.452431)"
Sandvika bussterminal,"(10.524556, 59.892905)"
Kongsvinger stasjon,"(12.005095, 60.187459)"
Kleppestø terminal,"(5.226697, 60.407406)"
Asker stasjon,"(10.433721, 59.83331)"
Elverum skysstasjon,"(11.547127, 60.882234)"
Ringebu skysstasjon,"(10.138547, 61.529511)"
Raufoss stasjon,"(10.613329, 60.722593)"
Lillehammer skysstasjon,"(10.461624, 61.114744)"
Eidsvoll stasjon,"(11.247125, 60.330174)"
Jessheim stasjon,"(11.176129, 60.141896)"
Brandbu skysstasjon,"(10.506174, 60.420054)"
Varekils bussstation,"(11.7208266, 58.125184)"
Skee,"(11.2629426, 58.9223774)"
Stavanger bussterminal,"(5.73349, 58.966444)"
Bergen busstasjon,"(5.333857, 60.388114)"
Dokka skysstasjon,"(10.073157, 60.833913)"
Brobacka korsväg,"(12.4386785, 57.9753442)"
Åmot skysstasjon,"(9.928187, 59.893516)"
Sogndal skysstasjon,"(7.09703, 61.230737)"
Arendal bussterminal,"(8.764855, 58.460001)"
Gaupemyr bussterminal,"(8.395234, 58.268655)"
Tangen,"(9.284528, 58.895669)"
Bø stasjon,"(9.069495, 59.409554)"
Lena skysstasjon,"(10.822217, 60.677205)"
Vinstra skysstasjon,"(9.747473, 61.595439)"
Hønefoss sentrum,"(10.257483, 60.165219)"
Drammen busstasjon,"(10.20017, 59.740605)"
Ås stasjon,"(10.793933, 59.663815)"
Nesoddtangen,"(10.656821, 59.870676)"
Olavsgaard,"(11.001507, 59.979161)"
Nannestad torg,"(11.013437, 60.219756)"
Oslo lufthavn,"(11.097244, 60.193473)"
Lørenskog sentrum,"(10.954844, 59.927947)"
Vestby stasjon,"(10.749717, 59.604209)"
Bryne stasjon,"(5.648968, 58.734901)"
Egersund bussterminal,"(6.002438, 58.453382)"
Håvik bussterminal,"(5.290011, 59.320007)"
Sokn bussterminal,"(5.67308, 59.056067)"
Mjåsund bussterminal,"(5.448253, 59.31546)"
Norheim bussterminal,"(5.30651, 59.379752)"
Amanda terminal,"(5.329809, 59.394633)"
Sauda bussterminal,"(6.352378, 59.647377)"
Ølen bussterminal,"(5.805915, 59.606025)"
Ågotnes terminal,"(4.996752, 60.405297)"
Dolvik terminal,"(5.269027, 60.308605)"
Odda busstasjon,"(6.54691, 60.070537)"
Arna terminal,"(5.464154, 60.420066)"
Lagunen terminal,"(5.327921, 60.297619)"
Åsane terminal,"(5.321366, 60.463225)"
Leirvik terminal,"(5.501149, 59.779243)"
Sandeide terminal,"(5.266144, 60.333832)"
Hauketo stasjon,"(10.803321, 59.84612)"
Skullerud,"(10.839944, 59.866866)"
Mortensrud T,"(10.829163, 59.849605)"
Bragernes torg,"(10.20324, 59.743605)"
Aksdal bussterminal,"(5.449476, 59.420276)"
Tangvall,"(7.811324, 58.098405)"
Grenstøl bussterminal,"(8.901307, 58.614471)"
Solbakk bussterminal,"(5.935514, 59.036567)"
Sandnes bussterminal Ruten,"(5.736569, 58.851394)"
Voss stasjon,"(6.412247, 60.628988)"
Skien Landmannstorget,"(9.609729, 59.209529)"
Lyngdal rutebilstasjon,"(7.072781, 58.138374)"
Rjukan rutebilstasjon,"(8.585899, 59.877484)"
Lierbyen bussterminal,"(10.24221, 59.787076)"
Haugesund bussterminal,"(5.272928, 59.417055)"
Askim stasjon,"(11.16403, 59.581312)"
,"(5.4993252, 59.7806178)"
Øvrabø bussterminal,"(6.122316, 59.427027)"
Fyllingsdalen terminal,"(5.287835, 60.349277)"
,"(12.1053709, 59.2927632)"
,"(12.1046505, 59.2924036)"
Skarnes Korsmo,"(11.674527, 60.255762)"
Kristiansand rutebilstasjon,"(7.98983, 58.145091)"
Lensmannslia [Buss for tog],"(10.4332541, 59.8310534)"
Tønsberg rutebilstasjon,"(10.412207, 59.269764)"
Tøsdalskiftet,"(5.450615, 60.2052796)"
Osøyro Terminal,"(5.469037, 60.1852927)"
Töcksfors (Centralen) Flixbus,"(11.8413871, 59.5085902)"
,"(12.3271054, 58.3128105)"
Seljord skysstasjon,"(8.633897, 59.4801)"
