Name,Adm.,Population
A Coruña (La Coruña),GAL,"249,255"
Adeje,CAN,"50,929"
Albacete,CLM,"174,073"
Alcalá de Guadaíra,AND,"77,112"
Alcalá de Henares,MAD,"199,804"
Alcobendas,MAD,"121,446"
Alcorcón,MAD,"174,740"
Alcoy (Alcoi),VAL,"60,447"
Algeciras,AND,"125,047"
Alicante (Alacant),VAL,"358,608"
Almería,AND,"201,946"
Aranjuez,MAD,"62,508"
Arganda del Rey,MAD,"59,209"
Arona,CAN,"87,848"
Arrecife,CAN,"68,025"
Ávila,CLE,"59,119"
Avilés,AST,"75,663"
Badajoz,EXT,"151,146"
Badalona,CAT,"226,219"
Barakaldo (San Vicente de Baracaldo),PAI,"101,869"
Barcelona,CAT,"1,686,208"
Benalmádena,AND,"78,011"
Benidorm,VAL,"74,573"
Bilbao,PAI,"347,342"
Boadilla del Monte,MAD,"65,528"
Burgos,CLE,"176,551"
Cáceres,EXT,"96,448"
Cádiz,AND,"111,180"
Calvià,BAL,"53,826"
Cartagena,MUR,"219,235"
Castelldefels,CAT,"69,196"
Castelló de la Plana (Castellón de la Plana),VAL,"179,861"
Cerdanyola del Vallès,CAT,"57,831"
Ceuta,CEU,"83,179"
Chiclana de la Frontera,AND,"89,805"
Ciudad Real,CLM,"75,674"
Collado Villalba,MAD,"67,323"
Colmenar Viejo,MAD,"56,878"
Córdoba,AND,"324,902"
Cornellà de Llobregat,CAT,"91,196"
Coslada,MAD,"80,688"
Cuenca,CLM,"53,643"
Donostia (San Sebastián),PAI,"188,487"
Dos Hermanas,AND,"140,463"
Eivissa (Ibiza),BAL,"53,228"
Elche (Elx),VAL,"242,317"
Elda,VAL,"53,925"
El Ejido,AND,"89,462"
El Prat de Llobregat,CAT,"65,910"
El Puerto de Santa María,AND,"90,423"
Estepona,AND,"78,590"
Ferrol (El Ferrol),GAL,"64,358"
Fuengirola,AND,"85,646"
Fuenlabrada,MAD,"190,496"
Gandia (Gandía),VAL,"80,001"
Getafe,MAD,"191,560"
Getxo (Guecho),PAI,"76,155"
Gijón,AST,"270,219"
Girona (Gerona),CAT,"106,476"
Granada,AND,"233,532"
Granadilla de Abona,CAN,"57,644"
Granollers,CAT,"63,897"
Guadalajara,CLM,"90,878"
Huelva,AND,"143,526"
Huesca,ARA,"54,664"
Irun (Irún),PAI,"63,298"
Jaén,AND,"111,945"
Jerez de la Frontera,AND,"214,844"
La Laguna (San Cristóbal de la Laguna),CAN,"160,855"
La Línea de la Concepción,AND,"64,987"
Las Palmas de Gran Canaria,CAN,"383,516"
Las Rozas de Madrid,MAD,"99,193"
Leganés,MAD,"193,934"
León,CLE,"122,866"
L'Hospitalet de Llobregat,CAT,"282,299"
Linares,AND,"55,303"
Lleida (Lérida),CAT,"144,878"
Logroño,LAR,"150,845"
Lorca,MUR,"97,769"
Lugo,GAL,"99,365"
Madrid,MAD,"3,422,416"
Majadahonda,MAD,"73,547"
Málaga,AND,"592,346"
Manresa,CAT,"79,737"
Marbella,AND,"159,054"
Mataró,CAT,"130,887"
Melilla,MEL,"85,985"
Mérida,EXT,"59,894"
Mijas,AND,"92,211"
Molina de Segura,MUR,"77,012"
Mollet del Vallès,CAT,"52,045"
Móstoles,MAD,"213,268"
Motril,AND,"59,867"
Murcia,MUR,"471,982"
Orihuela,VAL,"83,348"
Ourense (Orense),GAL,"104,725"
Oviedo,AST,"220,027"
Palencia,CLE,"76,578"
Palma (Palma de Mallorca),BAL,"438,234"
Pamplona (Iruña),NAV,"208,243"
Parla,MAD,"134,876"
Paterna,VAL,"74,508"
Pinto,MAD,"55,989"
Ponferrada,CLE,"62,957"
Pontevedra,GAL,"83,106"
Pozuelo de Alarcón,MAD,"89,123"
Reus,CAT,"109,961"
Rincón de la Victoria,AND,"52,043"
Rivas-Vaciamadrid,MAD,"101,637"
Roquetas de Mar,AND,"108,348"
Rubí,CAT,"81,523"
Sabadell,CAT,"221,564"
Sagunto (Sagunt),VAL,"71,756"
Salamanca,CLE,"144,458"
San Bartolomé de Tirajana,CAN,"54,976"
San Fernando,AND,"93,793"
Sanlúcar de Barrameda,AND,"69,887"
San Sebastián de los Reyes,MAD,"94,942"
Santa Coloma de Gramenet (Santa Coloma de Gramanet),CAT,"120,903"
Santa Cruz de Tenerife,CAN,"210,486"
Santa Lucía de Tirajana,CAN,"78,048"
Santander,CAR,"173,635"
Sant Boi de Llobregat,CAT,"84,588"
Sant Cugat del Vallès,CAT,"98,649"
Santiago de Compostela,GAL,"99,491"
San Vicente del Raspeig (Sant Vicent del Raspeig),VAL,"60,415"
Segovia,CLE,"51,388"
Sevilla,AND,"686,741"
Siero,AST,"52,514"
Talavera de la Reina,CLM,"85,138"
Tarragona,CAT,"141,018"
Telde,CAN,"103,587"
Terrassa (Tarrasa),CAT,"228,294"
Toledo,CLM,"86,281"
Torrejón de Ardoz,MAD,"141,047"
Torrelavega,CAR,"51,466"
Torremolinos,AND,"70,920"
Torrent (Torrente),VAL,"89,456"
Torrevieja,VAL,"95,760"
Tres Cantos,MAD,"52,825"
Utrera,AND,"52,279"
Valdemoro,MAD,"83,582"
València [Valencia],VAL,"824,340"
Valladolid,CLE,"299,816"
Vélez-Málaga,AND,"87,300"
Vigo,GAL,"295,523"
Viladecans,CAT,"67,179"
Vilanova i la Geltrú,CAT,"70,293"
Vila-real (Villarreal),VAL,"52,523"
Vitoria-Gasteiz,PAI,"257,407"
Zamora,CLE,"59,553"
Zaragoza,ARA,"691,037"
